885
LABEL|Cri|100
LABEL|Str|282
LABEL|Dis|207
LABEL|Pol|243
LABEL|Oth|53
WORD|Supreme|Cri|6
WORD|Court|Cri|25
WORD|Roe|Cri|1
WORD|Wade|Cri|1
WORD|case|Cri|94
WORD|recognizing|Cri|1
WORD|woman|Cri|30
WORD|right|Cri|17
WORD|I|Cri|173
WORD|made|Cri|48
WORD|certain|Cri|5
WORD|reinforcements|Cri|1
WORD|very|Cri|27
WORD|visible|Cri|1
WORD|way|Cri|23
WORD|reassuring|Cri|1
WORD|public|Cri|33
WORD|Mayor|Cri|5
WORD|Bill|Cri|8
WORD|Campbell|Cri|4
WORD|He|Cri|148
WORD|described|Cri|13
WORD|explosion|Cri|44
WORD|particularly|Cri|1
WORD|heinous|Cri|5
WORD|apparently|Cri|8
WORD|intended|Cri|6
WORD|injure|Cri|3
WORD|personnel|Cri|5
WORD|officers|Cri|6
WORD|rushed|Cri|2
WORD|In|Cri|45
WORD|Washington|Cri|20
WORD|President|Cri|34
WORD|Clinton|Cri|30
WORD|condemned|Cri|12
WORD|calling|Cri|13
WORD|vile|Cri|1
WORD|malevolent|Cri|1
WORD|act|Cri|22
WORD|Nobody|Cri|1
WORD|use|Cri|11
WORD|America|Cri|21
WORD|advance|Cri|6
WORD|their|Cri|117
WORD|own|Cri|25
WORD|convictions|Cri|2
WORD|rights|Cri|17
WORD|statement|Cri|24
WORD|will|Cri|127
WORD|get|Cri|12
WORD|bottom|Cri|2
WORD|this|Cri|104
WORD|punish|Cri|4
WORD|those|Cri|30
WORD|responsible|Cri|17
WORD|fullest|Cri|1
WORD|extent|Cri|2
WORD|law|Cri|33
WORD|provides|Cri|1
WORD|evacuated|Cri|6
WORD|nearby|Cri|10
WORD|buildings|Cri|5
WORD|kept|Cri|9
WORD|bystanders|Cri|2
WORD|well|Cri|10
WORD|away|Cri|28
WORD|after|Cri|131
WORD|while|Cri|30
WORD|bomb|Cri|117
WORD|experts|Cri|13
WORD|searched|Cri|1
WORD|enough|Cri|5
WORD|shatter|Cri|1
WORD|windows|Cri|4
WORD|rattle|Cri|1
WORD|dinner|Cri|1
WORD|plates|Cri|3
WORD|homes|Cri|4
WORD|miles|Cri|12
WORD|TV|Cri|8
WORD|aerial|Cri|2
WORD|shots|Cri|7
WORD|showed|Cri|18
WORD|shards|Cri|2
WORD|broken|Cri|5
WORD|plaster|Cri|2
WORD|scattered|Cri|2
WORD|across|Cri|12
WORD|smoke|Cri|3
WORD|poured|Cri|4
WORD|remains|Cri|7
WORD|think|Cri|12
WORD|condemnation|Cri|3
WORD|society|Cri|6
WORD|times|Cri|7
WORD|live|Cri|8
WORD|Fulton|Cri|6
WORD|County|Cri|14
WORD|Commissioner|Cri|4
WORD|Tom|Cri|2
WORD|Lowe|Cri|1
WORD|told|Cri|129
WORD|reporters|Cri|34
WORD|trying|Cri|5
WORD|point|Cri|11
WORD|mainly|Cri|3
WORD|Television|Cri|2
WORD|man|Cri|62
WORD|ATF|Cri|4
WORD|agent|Cri|14
WORD|being|Cri|39
WORD|helped|Cri|13
WORD|Eyewitnesses|Cri|3
WORD|camera|Cri|6
WORD|crews|Cri|2
WORD|filming|Cri|3
WORD|standing|Cri|7
WORD|ran|Cri|4
WORD|off|Cri|39
WORD|interview|Cri|9
WORD|witness|Cri|20
WORD|seconds|Cri|6
WORD|before|Cri|79
WORD|There|Cri|25
WORD|big|Cri|5
WORD|It|Cri|87
WORD|almost|Cri|8
WORD|like|Cri|33
WORD|someone|Cri|17
WORD|pushed|Cri|5
WORD|you|Cri|36
WORD|hard|Cri|11
WORD|possibly|Cri|5
WORD|be|Cri|214
WORD|And|Cri|10
WORD|all|Cri|76
WORD|sudden|Cri|3
WORD|pandemonium|Cri|4
WORD|photographer|Cri|3
WORD|near|Cri|36
WORD|dumpster|Cri|4
WORD|local|Cri|15
WORD|television|Cri|18
WORD|Local|Cri|8
WORD|press|Cri|5
WORD|reports|Cri|16
WORD|same|Cri|22
WORD|site|Cri|22
WORD|attack|Cri|68
WORD|set|Cri|25
WORD|special|Cri|16
WORD|with|Cri|271
WORD|phone|Cri|10
WORD|number|Cri|10
WORD|urged|Cri|5
WORD|members|Cri|36
WORD|tips|Cri|1
WORD|or|Cri|89
WORD|descriptions|Cri|2
WORD|unusual|Cri|3
WORD|activity|Cri|1
WORD|might|Cri|12
WORD|related|Cri|4
WORD|bombings|Cri|14
WORD|victim|Cri|11
WORD|Saturday|Cri|34
WORD|American|Cri|23
WORD|visiting|Cri|2
WORD|Olympics|Cri|20
WORD|examiner|Cri|2
WORD|spokesman|Cri|26
WORD|by|Cri|242
WORD|telephone|Cri|6
WORD|multiple|Cri|1
WORD|penetration|Cri|1
WORD|injuries|Cri|8
WORD|flying|Cri|3
WORD|metal|Cri|9
WORD|fragments|Cri|2
WORD|earlier|Cri|17
WORD|Turkish|Cri|4
WORD|cameraman|Cri|5
WORD|suffered|Cri|10
WORD|heart|Cri|13
WORD|failure|Cri|2
WORD|named|Cri|5
WORD|Alice|Cri|4
WORD|Hawthorne|Cri|10
WORD|Albany|Cri|3
WORD|Georgia|Cri|13
WORD|Melih|Cri|2
WORD|Uzunyol|Cri|3
WORD|collapsed|Cri|2
WORD|gave|Cri|18
WORD|death|Cri|127
WORD|serious|Cri|18
WORD|disease|Cri|1
WORD|aggravated|Cri|1
WORD|event|Cri|3
WORD|manner|Cri|1
WORD|both|Cri|14
WORD|cases|Cri|8
WORD|would|Cri|101
WORD|certified|Cri|2
WORD|homicide|Cri|1
WORD|About|Cri|4
WORD|crowd|Cri|3
WORD|revellers|Cri|1
WORD|attending|Cri|1
WORD|pop|Cri|2
WORD|concert|Cri|10
WORD|Baptist|Cri|3
WORD|Hospital|Cri|5
WORD|daughter|Cri|22
WORD|undergone|Cri|1
WORD|surgery|Cri|2
WORD|deep|Cri|10
WORD|flesh|Cri|2
WORD|wounds|Cri|4
WORD|her|Cri|129
WORD|arms|Cri|9
WORD|legs|Cri|4
WORD|she|Cri|113
WORD|stable|Cri|6
WORD|condition|Cri|12
WORD|expected|Cri|22
WORD|full|Cri|14
WORD|recovery|Cri|4
WORD|DENVER|Cri|21
WORD|Timothy|Cri|35
WORD|McVeigh|Cri|247
WORD|formally|Cri|5
WORD|sentenced|Cri|24
WORD|die|Cri|9
WORD|Oklahoma|Cri|68
WORD|City|Cri|66
WORD|broke|Cri|9
WORD|his|Cri|334
WORD|long|Cri|12
WORD|silence|Cri|10
WORD|brief|Cri|6
WORD|indicating|Cri|1
WORD|he|Cri|402
WORD|saw|Cri|21
WORD|revenge|Cri|6
WORD|against|Cri|87
WORD|tyrannical|Cri|1
WORD|government|Cri|84
WORD|Moments|Cri|1
WORD|District|Cri|17
WORD|Judge|Cri|37
WORD|Richard|Cri|26
WORD|Matsch|Cri|56
WORD|him|Cri|115
WORD|April|Cri|66
WORD|except|Cri|2
WORD|few|Cri|9
WORD|words|Cri|10
WORD|throughout|Cri|9
WORD|trial|Cri|143
WORD|low|Cri|3
WORD|tone|Cri|2
WORD|packed|Cri|6
WORD|courtroom|Cri|27
WORD|straining|Cri|1
WORD|hear|Cri|7
WORD|read|Cri|14
WORD|quotation|Cri|2
WORD|late|Cri|9
WORD|liberal|Cri|2
WORD|Justice|Cri|17
WORD|Louis|Cri|1
WORD|Brandeis|Cri|5
WORD|Our|Cri|7
WORD|potent|Cri|1
WORD|omnipresent|Cri|1
WORD|teacher|Cri|4
WORD|For|Cri|6
WORD|good|Cri|11
WORD|ill|Cri|6
WORD|teaches|Cri|1
WORD|whole|Cri|5
WORD|its|Cri|47
WORD|example|Cri|2
WORD|have|Cri|157
WORD|say|Cri|40
WORD|added|Cri|15
WORD|ramrod|Cri|1
WORD|straight|Cri|1
WORD|dressed|Cri|5
WORD|prison|Cri|41
WORD|garb|Cri|1
WORD|hands|Cri|11
WORD|decorated|Cri|4
WORD|Gulf|Cri|10
WORD|War|Cri|12
WORD|veteran|Cri|13
WORD|clasped|Cri|1
WORD|behind|Cri|12
WORD|back|Cri|31
WORD|But|Cri|58
WORD|did|Cri|56
WORD|court|Cri|91
WORD|sentence|Cri|24
WORD|dissent|Cri|1
WORD|followed|Cri|10
WORD|If|Cri|23
WORD|becomes|Cri|2
WORD|breaker|Cri|1
WORD|breeds|Cri|1
WORD|contempt|Cri|1
WORD|invites|Cri|2
WORD|become|Cri|13
WORD|unto|Cri|1
WORD|himself|Cri|22
WORD|anarchy|Cri|1
WORD|transferred|Cri|4
WORD|Penitentiary|Cri|1
WORD|Florence|Cri|1
WORD|Colorado|Cri|2
WORD|Department|Cri|13
WORD|announced|Cri|12
WORD|highest|Cri|3
WORD|federal|Cri|76
WORD|system|Cri|10
WORD|dubbed|Cri|5
WORD|Alcatraz|Cri|1
WORD|Rockies|Cri|1
WORD|when|Cri|87
WORD|opened|Cri|11
WORD|During|Cri|12
WORD|attorneys|Cri|18
WORD|client|Cri|9
WORD|patriot|Cri|4
WORD|deeply|Cri|9
WORD|worried|Cri|3
WORD|about|Cri|71
WORD|attacks|Cri|26
WORD|individual|Cri|5
WORD|They|Cri|39
WORD|brought|Cri|20
WORD|political|Cri|20
WORD|heartland|Cri|3
WORD|bloody|Cri|3
WORD|showdown|Cri|1
WORD|Branch|Cri|11
WORD|Davidian|Cri|11
WORD|cult|Cri|9
WORD|Waco|Cri|21
WORD|Texas|Cri|15
WORD|While|Cri|10
WORD|pleaded|Cri|17
WORD|innocent|Cri|16
WORD|during|Cri|42
WORD|sentencing|Cri|12
WORD|phase|Cri|17
WORD|tried|Cri|26
WORD|explain|Cri|5
WORD|dwelling|Cri|1
WORD|anger|Cri|9
WORD|especially|Cri|3
WORD|what|Cri|42
WORD|happened|Cri|13
WORD|demon|Cri|2
WORD|though|Cri|11
WORD|surely|Cri|2
WORD|demonic|Cri|2
WORD|chief|Cri|15
WORD|defense|Cri|83
WORD|attorney|Cri|37
WORD|Stephen|Cri|13
WORD|Jones|Cri|34
WORD|closing|Cri|6
WORD|argument|Cri|13
WORD|ended|Cri|9
WORD|jury|Cri|80
WORD|vote|Cri|2
WORD|should|Cri|31
WORD|executed|Cri|16
WORD|quote|Cri|2
WORD|many|Cri|27
WORD|dissatisfied|Cri|1
WORD|relatives|Cri|28
WORD|Alfred|Cri|24
WORD|Murrah|Cri|37
WORD|Buffalo|Cri|2
WORD|News|Cri|9
WORD|speak|Cri|8
WORD|hoped|Cri|6
WORD|shed|Cri|4
WORD|new|Cri|20
WORD|light|Cri|3
WORD|give|Cri|10
WORD|explanation|Cri|2
WORD|actions|Cri|3
WORD|came|Cri|29
WORD|dissenting|Cri|1
WORD|opinion|Cri|4
WORD|wiretap|Cri|2
WORD|bootleggers|Cri|1
WORD|lawyers|Cri|39
WORD|preferred|Cri|3
WORD|try|Cri|14
WORD|why|Cri|11
WORD|chose|Cri|4
WORD|Denver|Cri|20
WORD|Scott|Cri|2
WORD|Robinson|Cri|2
WORD|attended|Cri|3
WORD|reflected|Cri|1
WORD|fruit|Cri|1
WORD|Courtroom|Cri|1
WORD|spectators|Cri|6
WORD|something|Cri|11
WORD|lead|Cri|10
WORD|accused|Cri|38
WORD|botching|Cri|1
WORD|Instead|Cri|1
WORD|wrote|Cri|4
WORD|letter|Cri|17
WORD|expressed|Cri|6
WORD|unhappiness|Cri|1
WORD|noted|Cri|6
WORD|judge|Cri|57
WORD|aware|Cri|2
WORD|problems|Cri|4
WORD|difficulties|Cri|1
WORD|my|Cri|23
WORD|appointed|Cri|6
WORD|counsel|Cri|2
WORD|past|Cri|8
WORD|must|Cri|10
WORD|remain|Cri|7
WORD|Burr|Cri|5
WORD|Robert|Cri|3
WORD|Nigh|Cri|4
WORD|Outside|Cri|3
WORD|criticize|Cri|1
WORD|decide|Cri|8
WORD|filed|Cri|8
WORD|notice|Cri|2
WORD|appeal|Cri|20
WORD|conviction|Cri|7
WORD|HAVANA|Cri|1
WORD|Dec|Cri|5
WORD|AFP|Cri|21
WORD|small|Cri|12
WORD|early|Cri|23
WORD|church|Cri|12
WORD|Old|Cri|1
WORD|Havana|Cri|6
WORD|less|Cri|5
WORD|than|Cri|60
WORD|month|Cri|13
WORD|pope|Cri|1
WORD|due|Cri|5
WORD|landmark|Cri|3
WORD|visit|Cri|11
WORD|here|Cri|30
WORD|No|Cri|18
WORD|damage|Cri|7
WORD|reported|Cri|13
WORD|GMT|Cri|6
WORD|door|Cri|5
WORD|La|Cri|1
WORD|Merced|Cri|1
WORD|Orlando|Cri|1
WORD|Marquez|Cri|3
WORD|Cardinal|Cri|2
WORD|Jaime|Cri|4
WORD|Ortega|Cri|4
WORD|archibishop|Cri|1
WORD|investigating|Cri|9
WORD|denied|Cri|11
WORD|connected|Cri|1
WORD|impending|Cri|2
WORD|papal|Cri|1
WORD|single|Cri|6
WORD|isolated|Cri|2
WORD|some|Cri|39
WORD|concern|Cri|3
WORD|can|Cri|37
WORD|implications|Cri|1
WORD|Holy|Cri|2
WORD|Father|Cri|2
WORD|do|Cri|51
WORD|know|Cri|23
WORD|happen|Cri|4
WORD|Roman|Cri|3
WORD|Catholic|Cri|4
WORD|decades|Cri|6
WORD|according|Cri|12
WORD|This|Cri|15
WORD|thing|Cri|9
WORD|alarm|Cri|2
WORD|discomfort|Cri|1
WORD|worry|Cri|2
WORD|better|Cri|3
WORD|contribute|Cri|1
WORD|addressing|Cri|1
WORD|group|Cri|31
WORD|young|Cri|12
WORD|Cubans|Cri|1
WORD|prepare|Cri|3
WORD|pontiff|Cri|2
WORD|Relations|Cri|1
WORD|between|Cri|21
WORD|Cuba|Cri|9
WORD|conservative|Cri|1
WORD|communist|Cri|2
WORD|tense|Cri|2
WORD|warming|Cri|1
WORD|recently|Cri|10
WORD|ahead|Cri|5
WORD|Pope|Cri|1
WORD|John|Cri|12
WORD|Paul|Cri|5
WORD|II|Cri|3
WORD|island|Cri|7
WORD|January|Cri|6
WORD|only|Cri|37
WORD|country|Cri|22
WORD|predominantly|Cri|3
WORD|Latin|Cri|2
WORD|ailing|Cri|1
WORD|Polish|Cri|1
WORD|prelate|Cri|1
WORD|visited|Cri|4
WORD|papacy|Cri|1
WORD|Cuban|Cri|5
WORD|lifted|Cri|2
WORD|ban|Cri|2
WORD|religion|Cri|3
WORD|Catholics|Cri|1
WORD|allowed|Cri|7
WORD|celebrate|Cri|4
WORD|Christmas|Cri|5
WORD|years|Cri|45
WORD|Fidel|Cri|1
WORD|Castro|Cri|2
WORD|declared|Cri|3
WORD|official|Cri|23
WORD|holiday|Cri|3
WORD|masses|Cri|1
WORD|different|Cri|3
WORD|locations|Cri|2
WORD|pronounce|Cri|1
WORD|nine|Cri|12
WORD|homilies|Cri|1
WORD|churches|Cri|1
WORD|previously|Cri|6
WORD|targetted|Cri|1
WORD|attempts|Cri|7
WORD|boost|Cri|1
WORD|tourist|Cri|6
WORD|trade|Cri|4
WORD|blasts|Cri|5
WORD|luxury|Cri|1
WORD|hotels|Cri|1
WORD|Salvadoran|Cri|1
WORD|arrested|Cri|20
WORD|six|Cri|25
WORD|seven|Cri|14
WORD|September|Cri|6
WORD|An|Cri|14
WORD|Italian|Cri|26
WORD|businessman|Cri|3
WORD|most|Cri|37
WORD|exile|Cri|6
WORD|Miami|Cri|12
WORD|Florida|Cri|9
WORD|masterminding|Cri|1
WORD|financing|Cri|1
WORD|allegation|Cri|1
WORD|UPI|Cri|10
WORD|rock|Cri|9
WORD|wounded|Cri|24
WORD|work|Cri|17
WORD|terrorist|Cri|27
WORD|take|Cri|29
WORD|investigation|Cri|21
WORD|consider|Cri|13
WORD|until|Cri|25
WORD|information|Cri|20
WORD|arrives|Cri|1
WORD|contrary|Cri|2
WORD|Woody|Cri|4
WORD|Johnson|Cri|18
WORD|General|Cri|7
WORD|Janet|Cri|3
WORD|Reno|Cri|5
WORD|personally|Cri|8
WORD|overseeing|Cri|3
WORD|into|Cri|60
WORD|struck|Cri|4
WORD|EDT|Cri|6
WORD|vowed|Cri|10
WORD|disrupt|Cri|1
WORD|games|Cri|2
WORD|Games|Cri|28
WORD|go|Cri|20
WORD|repeat|Cri|3
WORD|Francois|Cri|3
WORD|Carrard|Cri|6
WORD|head|Cri|22
WORD|Committee|Cri|9
WORD|immediate|Cri|4
WORD|steps|Cri|5
WORD|assure|Cri|3
WORD|performances|Cri|1
WORD|sanitize|Cri|1
WORD|rest|Cri|7
WORD|All|Cri|13
WORD|venues|Cri|7
WORD|sanitized|Cri|1
WORD|again|Cri|15
WORD|where|Cri|51
WORD|athletes|Cri|5
WORD|now|Cri|20
WORD|events|Cri|7
WORD|place|Cri|18
WORD|confirmed|Cri|6
WORD|fatalities|Cri|1
WORD|citizen|Cri|4
WORD|went|Cri|21
WORD|cardiac|Cri|1
WORD|arrest|Cri|20
WORD|Their|Cri|3
WORD|names|Cri|5
WORD|withheld|Cri|2
WORD|pending|Cri|4
WORD|notification|Cri|1
WORD|families|Cri|16
WORD|Frank|Cri|4
WORD|Veal|Cri|1
WORD|Tampa|Cri|1
WORD|coronary|Cri|1
WORD|crumpled|Cri|2
WORD|concrete|Cri|3
WORD|feet|Cri|7
WORD|source|Cri|3
WORD|kahboom|Cri|1
WORD|ears|Cri|1
WORD|so|Cri|40
WORD|bad|Cri|2
WORD|person|Cri|29
WORD|looked|Cri|13
WORD|dead|Cri|27
WORD|doll|Cri|1
WORD|semicircle|Cri|1
WORD|shrapnel|Cri|6
WORD|much|Cri|13
WORD|more|Cri|64
WORD|pipe|Cri|12
WORD|pickup|Cri|3
WORD|graf|Cri|1
WORD|Most|Cri|4
WORD|PETERSBURG|Cri|1
WORD|Russia|Cri|9
WORD|leading|Cri|5
WORD|member|Cri|14
WORD|Russian|Cri|12
WORD|democratic|Cri|1
WORD|opposition|Cri|5
WORD|presidential|Cri|1
WORD|candidate|Cri|3
WORD|Galina|Cri|1
WORD|Starovoitova|Cri|13
WORD|shot|Cri|24
WORD|Friday|Cri|24
WORD|night|Cri|13
WORD|Petersburg|Cri|4
WORD|city|Cri|23
WORD|unidentified|Cri|6
WORD|gunman|Cri|14
WORD|used|Cri|32
WORD|automatic|Cri|2
WORD|rifle|Cri|2
WORD|silencer|Cri|1
WORD|politician|Cri|4
WORD|three|Cri|57
WORD|entered|Cri|11
WORD|apartment|Cri|7
WORD|killing|Cri|34
WORD|instantly|Cri|2
WORD|seriously|Cri|7
WORD|wounding|Cri|4
WORD|assistant|Cri|2
WORD|twice|Cri|7
WORD|neck|Cri|4
WORD|radio|Cri|6
WORD|stations|Cri|4
WORD|assailants|Cri|1
WORD|involved|Cri|13
WORD|armed|Cri|9
WORD|Beretta|Cri|3
WORD|pistol|Cri|6
WORD|recovered|Cri|2
WORD|comment|Cri|9
WORD|suspects|Cri|13
WORD|identities|Cri|3
WORD|United|Cri|50
WORD|Press|Cri|3
WORD|International|Cri|11
WORD|purse|Cri|1
WORD|containing|Cri|1
WORD|documents|Cri|12
WORD|significant|Cri|3
WORD|amount|Cri|4
WORD|money|Cri|10
WORD|found|Cri|49
WORD|crime|Cri|38
WORD|Initially|Cri|1
WORD|media|Cri|12
WORD|shooting|Cri|19
WORD|robbery|Cri|1
WORD|gone|Cri|7
WORD|wrong|Cri|8
WORD|believe|Cri|17
WORD|slain|Cri|2
WORD|stance|Cri|2
WORD|tough|Cri|3
WORD|Margaret|Cri|1
WORD|Thatcher|Cri|1
WORD|refusal|Cri|1
WORD|bend|Cri|1
WORD|principles|Cri|1
WORD|warned|Cri|12
WORD|life|Cri|56
WORD|ignored|Cri|1
WORD|them|Cri|48
WORD|close|Cri|14
WORD|aide|Cri|3
WORD|offered|Cri|4
WORD|bodyguards|Cri|1
WORD|refused|Cri|17
WORD|saying|Cri|34
WORD|Who|Cri|3
WORD|dare|Cri|1
WORD|kill|Cri|14
WORD|Boris|Cri|2
WORD|Yeltsin|Cri|5
WORD|today|Cri|28
WORD|shock|Cri|7
WORD|assassination|Cri|9
WORD|closest|Cri|2
WORD|companion|Cri|2
WORD|called|Cri|36
WORD|murder|Cri|61
WORD|challenge|Cri|1
WORD|control|Cri|9
WORD|ordered|Cri|22
WORD|Interior|Cri|4
WORD|Minister|Cri|13
WORD|Sergei|Cri|2
WORD|Stepashin|Cri|1
WORD|sheen|Cri|1
WORD|fly|Cri|2
WORD|charge|Cri|9
WORD|deputy|Cri|13
WORD|director|Cri|7
WORD|top|Cri|21
WORD|intelligence|Cri|3
WORD|agency|Cri|17
WORD|FSB|Cri|2
WORD|team|Cri|17
WORD|crack|Cri|3
WORD|Prime|Cri|9
WORD|Yevgeny|Cri|1
WORD|Primakov|Cri|1
WORD|KAWF|Cri|1
WORD|outraged|Cri|1
WORD|find|Cri|13
WORD|criminals|Cri|1
WORD|summoned|Cri|1
WORD|end|Cri|21
WORD|banditry|Cri|1
WORD|respected|Cri|2
WORD|politicians|Cri|5
WORD|planned|Cri|13
WORD|run|Cri|6
WORD|president|Cri|18
WORD|gaining|Cri|1
WORD|support|Cri|13
WORD|economic|Cri|2
WORD|proposals|Cri|1
WORD|Soviet|Cri|3
WORD|coup|Cri|3
WORD|Mikhail|Cri|1
WORD|Gorbachev|Cri|1
WORD|cut|Cri|6
WORD|world|Cri|22
WORD|London|Cri|8
WORD|marshalling|Cri|1
WORD|international|Cri|14
WORD|plotters|Cri|1
WORD|preparing|Cri|6
WORD|successful|Cri|3
WORD|Later|Cri|2
WORD|establish|Cri|1
WORD|Democratic|Cri|4
WORD|movement|Cri|3
WORD|Union|Cri|5
WORD|moved|Cri|7
WORD|toward|Cri|5
WORD|democracy|Cri|2
WORD|confronted|Cri|2
WORD|Kremlin|Cri|1
WORD|war|Cri|18
WORD|Chechnya|Cri|1
WORD|uncompromising|Cri|1
WORD|stand|Cri|13
WORD|withdrawal|Cri|1
WORD|troops|Cri|7
WORD|region|Cri|7
WORD|She|Cri|51
WORD|parliament|Cri|5
WORD|committee|Cri|6
WORD|human|Cri|15
WORD|believed|Cri|13
WORD|report|Cri|6
WORD|Council|Cri|3
WORD|Europe|Cri|3
WORD|rapid|Cri|2
WORD|development|Cri|3
WORD|ranting|Cri|1
WORD|Albert|Cri|1
WORD|Makashov|Cri|3
WORD|blamed|Cri|9
WORD|crisis|Cri|10
WORD|yids|Cri|1
WORD|received|Cri|10
WORD|Communist|Cri|2
WORD|Party|Cri|7
WORD|Her|Cri|3
WORD|aides|Cri|1
WORD|propose|Cri|1
WORD|ultranationalists|Cri|1
WORD|publicly|Cri|4
WORD|stated|Cri|5
WORD|stands|Cri|3
WORD|Oleg|Cri|1
WORD|Sysuyev|Cri|2
WORD|administration|Cri|3
WORD|Moscow|Cri|7
WORD|Echo|Cri|1
WORD|dangers|Cri|1
WORD|extremists|Cri|5
WORD|posed|Cri|1
WORD|demanded|Cri|5
WORD|action|Cri|6
WORD|eradicate|Cri|1
WORD|extremism|Cri|3
WORD|mentioned|Cri|2
WORD|proposed|Cri|1
WORD|banning|Cri|1
